INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('20', '125', '0', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('21', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('22', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('23', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('24', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('25', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('26', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('27', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('28', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('29', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('30', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('31', '125', '0', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('32', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('33', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('34', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('35', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('36', '125', '3', '0');
INSERT INTO `grid` (id, zoneid, type, type2) VALUES ('37', '125', '3', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('20', '125', '1', '-490.25', '-587.63', '-202.5', '152.5', '45');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '445', '-49.75', '-324.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '446', '-50', '-310.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '447', '-50.75', '-296.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '448', '-54.75', '-286.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '449', '-59', '-275.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '450', '-52.5', '-291.63', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '451', '-52.13', '-302.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '452', '-51.5', '-327.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '453', '-50.88', '-349.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '454', '-50.63', '-363', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '455', '-50.38', '-373.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '456', '-50', '-398.63', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '457', '-49', '-409.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '458', '-47.88', '-395.63', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '459', '-48.38', '-381.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '460', '-48.75', '-371.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '461', '-49.38', '-346.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '462', '-49.63', '-335.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '463', '-49.88', '-324.63', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '464', '-50', '-310.75', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '465', '-50.75', '-297.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '466', '-54.63', '-287.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '467', '-58.63', '-277', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '468', '-52.5', '-291.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '469', '-52.13', '-302.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '470', '-51.5', '-327', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '471', '-51', '-349.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '472', '-50.38', '-373.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '473', '-50', '-398.75', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '474', '-49', '-409.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '475', '-47.63', '-395.75', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '476', '-48.13', '-382.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '477', '-48.5', '-371.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '478', '-48.88', '-360.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '479', '-49.5', '-335.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '480', '-49.75', '-324.75', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '481', '-50', '-311.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '482', '-50.75', '-297.63', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '483', '-54.63', '-287.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '484', '-58.5', '-277.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '485', '-52.5', '-291.75', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '486', '-52', '-302.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '487', '-51.38', '-327', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '488', '-50.88', '-348.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '489', '-50.63', '-362.5', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '490', '-50.38', '-373.38', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '491', '-50', '-398.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '492', '-49.88', '-409.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '493', '-47.63', '-395.75', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '494', '-48.13', '-382.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '495', '-48.5', '-371.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '496', '-48.88', '-360.25', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '497', '-49.5', '-335.63', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '498', '-49.75', '-323.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '499', '-50', '-309.88', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('22', '125', '500', '-50.75', '-299.13', '-87.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '1', '20.25', '69.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '2', '33', '77', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '3', '40.5', '49.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '4', '46.88', '3.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '5', '49.25', '-7.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '6', '64', '-21', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '7', '52.88', '-34.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '8', '27', '-61', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '9', '1.38', '-86.38', '-7.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '10', '-2.25', '-69', '-7.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '11', '-1.75', '-55.5', '-8.25', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '12', '-42.63', '-18.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '13', '-46.88', '-49', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '14', '-69.38', '-64.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '15', '-92.63', '-84', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '16', '-130.13', '-111.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '17', '-147', '-124.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '18', '-150.25', '-134.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '19', '-154.38', '-151.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '20', '-153.38', '-161.63', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '21', '-152.25', '-172.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '22', '-138.13', '-185.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '23', '-123.88', '-193.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '24', '-71', '-217.63', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '25', '-62', '-222', '5.5', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '26', '-69.75', '-219', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '27', '-79.25', '-215', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '28', '-102', '-205.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '29', '-112', '-201', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '30', '-122.13', '-196.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '31', '-136.25', '-188.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '32', '-147.88', '-182.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '33', '-158.63', '-183.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '34', '-157.38', '-170.63', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '35', '-156.63', '-160', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '36', '-155', '-148.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '37', '-152.25', '-131.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '38', '-160', '-121', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '39', '-116.25', '-98.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '40', '-102', '-90', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '41', '-78.13', '-70.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '42', '-49.13', '-56.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '43', '-42.75', '-11.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '44', '-42.88', '9.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '45', '-48', '19.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '46', '-28.75', '30.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '47', '7.38', '59.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '48', '20.25', '69.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '49', '33', '77', '3.8', '0', '45');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '50', '40.5', '49.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '51', '46.75', '3.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '52', '51.13', '-9', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '53', '64', '-21', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '54', '52.88', '-34.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '55', '27', '-61', '3.8', '0', '45');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '56', '1.38', '-86.5', '-7.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '57', '-2.38', '-69.13', '-7.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '58', '-1.88', '-55.5', '-8.25', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '59', '-42.63', '-18.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '60', '-46.75', '-49', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '61', '-69.63', '-64.63', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '62', '-92.5', '-84', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '63', '-130.5', '-111.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '64', '-147.38', '-124.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '65', '-150.63', '-135.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '66', '-154.5', '-151.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '67', '-153.38', '-162.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '68', '-151', '-172.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '69', '-137.25', '-186', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '70', '-124.75', '-192.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '71', '-102.63', '-202.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '72', '-82.38', '-212', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '73', '-70.25', '-217.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '74', '-62', '-222', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '75', '-71.38', '-218', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '76', '-94.13', '-208.63', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '77', '-104.25', '-204.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '78', '-114.25', '-200', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '79', '-126.63', '-194.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '80', '-135.75', '-188.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '81', '-145.25', '-182.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '82', '-158.5', '-183.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '83', '-157.25', '-170.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '84', '-156.63', '-159.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '85', '-155.13', '-149.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '86', '-152.38', '-131.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '87', '-160', '-121', '3.8', '0', '45');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '88', '-116', '-98.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '89', '-102', '-90', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '90', '-78.63', '-71', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '91', '-44', '-60', '3.8', '0', '45');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '92', '-42.75', '-12.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '93', '-42.88', '9.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '94', '-47.88', '19', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '95', '-28.75', '30.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '96', '7.63', '59.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '97', '20.5', '69.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '98', '33', '77', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '99', '40.63', '48.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '100', '46.88', '2.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '101', '51.13', '-9.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '102', '64', '-21', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '103', '52.75', '-34.88', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '104', '27', '-61', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '105', '1.5', '-86.25', '-7.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '106', '-2.25', '-69.13', '-7.13', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '107', '-2', '-58.13', '-7.5', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '108', '-42.63', '-18.38', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '109', '-46.88', '-49.13', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '110', '-69.13', '-64.25', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '111', '-92.25', '-83.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '112', '-129.75', '-111', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '113', '-146.75', '-124.5', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '114', '-150.13', '-134.75', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '115', '-154.25', '-150.63', '3.75', '-1', '0');
INSERT INTO `grid_entries` (gridid, zoneid, number, x, y, z, heading, pause) VALUES ('23', '125', '116', '-153.25', '-161.88', '3.75', '-1', '0');
